	노래 제목	가수
0	Ditto	NewJeans
1	OMG	NewJeans
2	Hype boy	NewJeans
3	사랑하기 싫어	지아
4	Teddy Bear	STAYC(스테이씨)
5	사건의 지평선	윤하 (YOUNHA)
6	사랑은 늘 도망가	임영웅
7	파이팅 해야지 (Feat. 이영지)	부석순 (SEVENTEEN)
8	심(心)	DK(디셈버)
9	우리들의 블루스	임영웅
10	I Don't Think That I Like Her	Charlie Puth
11	CHRISTIAN	Zior Park
12	VIBE (feat. Jimin of BTS)	태양
13	나비무덤	포맨 (4MEN)
14	다시 만날 수 있을까	임영웅
15	London Boy	임영웅
16	Polaroid	임영웅
17	Attention	NewJeans
18	무지개	임영웅
19	Nostalgia	우디 (Woody)
20	이제 나만 믿어요	임영웅
21	아버지	임영웅
22	on the street (with J. Cole)	j-hope, J. Cole
23	ANTIFRAGILE	LE SSERAFIM (르세라핌)
24	A bientot	임영웅
25	인생찬가	임영웅
26	After LIKE	IVE (아이브)
27	손이 참 곱던 그대	임영웅
28	사랑해 진짜	임영웅
29	연애편지	임영웅
30	Set Me Free Pt.2	지민
31	보금자리	임영웅
32	LOVE DIVE	IVE (아이브)
33	사랑인가 봐	멜로망스
34	NIGHT DANCER	imase
35	건물 사이에 피어난 장미 (Rose Blossom)	H1-KEY (하이키)
36	Candy	NCT DREAM
37	Dynamite	방탄소년단
38	Dangerously	Charlie Puth
39	너와 함께	김민석 (멜로망스)
40	봄날	방탄소년단
41	Rush Hour (Feat. j-hope of BTS)	Crush
42	너의 모든 순간	성시경
43	결국엔 너에게 닿아서	WSG워너비 (가야G)
44	혼자가 아닌 나	정효빈
45	Nxde	(여자)아이들
46	Butter	방탄소년단
47	Monologue	테이
48	사랑이라 믿었던 것들은 (Feat. 이수현)	BIG Naughty (서동현)
49	Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)	정국, 방탄소년단
50	That's Hilarious	Charlie Puth
51	Say I Love You	우디 (Woody)
52	너를 보는게 지친 하루에	송하예
53	해요 (2022)	#안녕
54	새삥 (Prod. ZICO) (Feat. 호미들)	지코 (ZICO)
55	취중고백	김민석 (멜로망스)
56	Cookie	NewJeans
57	Unholy	Sam Smith, Kim Petras
58	Permission to Dance	방탄소년단
59	Shut Down	BLACKPINK
60	Sugar Rush Ride	투모로우바이투게더
61	Expectations	Anne-Marie, 민니 ((여자)아이들), (여자)아이들
62	STAY	The Kid LAROI, Justin Bieber
63	그중에 그대를 만나	김호중
64	That That (prod. & feat. SUGA of BTS)	싸이 (PSY)
65	내가 아니라도	주호
66	그때 그 순간 그대로 (그그그)	WSG워너비 (가야G)
67	TOMBOY	(여자)아이들
68	Poppy (Korean Ver.)	STAYC(스테이씨)
69	당신을 만나	김호중, 송가인
70	Pink Venom	BLACKPINK
71	그라데이션	10CM
72	FEARLESS	LE SSERAFIM (르세라핌)
73	다정히 내 이름을 부르면	경서예지, 전건호
74	NOT SORRY (Feat. pH-1) (Prod. by Slom)	이영지
75	Left and Right (Feat. Jung Kook of BTS)	Charlie Puth, 정국, 방탄소년단
76	아모르 파티	이홍기 (FT아일랜드)
77	되돌리다	먼데이 키즈 (Monday Kiz)
78	정이라고 하자 (Feat. 10CM)	BIG Naughty (서동현)
79	오르트구름	윤하 (YOUNHA)
80	그대라는 사치	임창정
81	나의 목소리로	김호중
82	마지막 사랑	신예영
83	그대를 알고	송하예
84	Yet To Come	방탄소년단
85	모든 날, 모든 순간 (Every day, Every Moment)	폴킴
86	ELEVEN	IVE (아이브)
87	그댄 행복에 살텐데 (2022)	최유리
88	잘가요	주호
89	네가 보고 싶은 건 자연스러운 거겠지	신예영
90	나의 X에게	경서
91	딱 10CM만	10CM, BIG Naughty (서동현)
92	Off My Face	Justin Bieber
93	Love Me Like This	NMIXX
94	이젠 안녕	투모로우바이투게더
95	LOVE me	BE'O (비오)
96	자격지심 (Feat. ZICO)	BE'O (비오)
97	밤하늘의 별을(2020)	경서
98	인생은 뷰티풀	김호중
99	봄여름가을겨울 (Still Life)	BIGBANG (빅뱅)
